sample_id,dataset,stratum,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max
easy2hard_E2H-AMC_02989,easy2hard_amc,1,0.0,0.0,0.0,15410.6,12165.2,20658.2
easy2hard_E2H-AMC_03005,easy2hard_amc,4,1.0,1.0,1.0,507,741.8,1338
easy2hard_E2H-AMC_03056,easy2hard_amc,3,1.0,1.0,1.0,2403.8,2940.8,5314.6
easy2hard_E2H-AMC_03083,easy2hard_amc,2,1.0,1.0,1.0,2946.8,2159,3688
easy2hard_E2H-AMC_03103,easy2hard_amc,5,1.0,1.0,1.0,5336,7603,11765
easy2hard_E2H-AMC_03140,easy2hard_amc,2,0.2,1.0,0.8,760.8,391.8,434.2
easy2hard_E2H-AMC_03181,easy2hard_amc,4,1.0,1.0,1.0,1337.2,2182.8,3135.8
easy2hard_E2H-AMC_03220,easy2hard_amc,1,1.0,1.0,1.0,2244.4,1281.6,1264.8
easy2hard_E2H-AMC_03238,easy2hard_amc,4,1.0,1.0,1.0,1326.8,2874,9606.4
easy2hard_E2H-AMC_03249,easy2hard_amc,5,0.8,0.8,1.0,22979,46879.2,39184.8
easy2hard_E2H-AMC_03324,easy2hard_amc,5,1.0,1.0,0.8,13016.2,24354.4,29307.2
easy2hard_E2H-AMC_03362,easy2hard_amc,2,1.0,1.0,1.0,1125,1601.4,1367.6
easy2hard_E2H-AMC_03414,easy2hard_amc,4,1.0,1.0,1.0,6977.6,10770.2,23469
easy2hard_E2H-AMC_03416,easy2hard_amc,1,0.6,1.0,0.6,2057.6,566.6,2849.6
easy2hard_E2H-AMC_03422,easy2hard_amc,5,1.0,1.0,1.0,3967.8,4610.6,5877.4
easy2hard_E2H-AMC_03500,easy2hard_amc,5,0.2,0.2,0.0,8189,6405.8,25596.4
easy2hard_E2H-AMC_03578,easy2hard_amc,2,1.0,1.0,1.0,1174.4,2254.6,3801.2
easy2hard_E2H-AMC_03587,easy2hard_amc,4,0.0,0.0,0.0,8729.2,15918.2,24110
easy2hard_E2H-AMC_03597,easy2hard_amc,2,0.2,0.0,0.4,555.8,278.4,566.2
easy2hard_E2H-AMC_03629,easy2hard_amc,5,1.0,1.0,1.0,7149.2,17676,32322.8
easy2hard_E2H-AMC_03675,easy2hard_amc,2,0.0,0.0,0.0,1280.2,1721.6,5977.4
